LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,WKGPOP,TOT,PC_POP,A,2008,67.499,
AUS,WKGPOP,TOT,PC_POP,A,2009,67.505,
AUS,WKGPOP,TOT,PC_POP,A,2010,67.386,
AUS,WKGPOP,TOT,PC_POP,A,2011,67.226,
AUS,WKGPOP,TOT,PC_POP,A,2012,66.93,
AUS,WKGPOP,TOT,PC_POP,A,2013,66.671,
AUS,WKGPOP,TOT,PC_POP,A,2014,66.425,
AUS,WKGPOP,TOT,PC_POP,A,2015,66.183,
AUS,WKGPOP,TOT,PC_POP,A,2016,65.917,
AUS,WKGPOP,TOT,PC_POP,A,2017,65.734,
AUS,WKGPOP,TOT,PC_POP,A,2018,65.521,
AUT,WKGPOP,TOT,PC_POP,A,2008,67.485,
AUT,WKGPOP,TOT,PC_POP,A,2009,67.456,
AUT,WKGPOP,TOT,PC_POP,A,2010,67.505,
AUT,WKGPOP,TOT,PC_POP,A,2011,67.657,
AUT,WKGPOP,TOT,PC_POP,A,2012,67.567,
AUT,WKGPOP,TOT,PC_POP,A,2013,67.439,
AUT,WKGPOP,TOT,PC_POP,A,2014,67.3,
AUT,WKGPOP,TOT,PC_POP,A,2015,67.239,
AUT,WKGPOP,TOT,PC_POP,A,2016,67.143,
AUT,WKGPOP,TOT,PC_POP,A,2017,66.982,
AUT,WKGPOP,TOT,PC_POP,A,2018,66.809,
BEL,WKGPOP,TOT,PC_POP,A,2008,66.051,
BEL,WKGPOP,TOT,PC_POP,A,2009,65.988,
BEL,WKGPOP,TOT,PC_POP,A,2010,65.895,
BEL,WKGPOP,TOT,PC_POP,A,2011,65.72,
BEL,WKGPOP,TOT,PC_POP,A,2012,65.477,
BEL,WKGPOP,TOT,PC_POP,A,2013,65.248,
BEL,WKGPOP,TOT,PC_POP,A,2014,65.011,
BEL,WKGPOP,TOT,PC_POP,A,2015,64.81,
BEL,WKGPOP,TOT,PC_POP,A,2016,64.63,
BEL,WKGPOP,TOT,PC_POP,A,2017,64.43,
BEL,WKGPOP,TOT,PC_POP,A,2018,64.236,
CAN,WKGPOP,TOT,PC_POP,A,2008,69.448,
CAN,WKGPOP,TOT,PC_POP,A,2009,69.402,
CAN,WKGPOP,TOT,PC_POP,A,2010,69.339,
CAN,WKGPOP,TOT,PC_POP,A,2011,69.178,
CAN,WKGPOP,TOT,PC_POP,A,2012,68.844,
CAN,WKGPOP,TOT,PC_POP,A,2013,68.483,
CAN,WKGPOP,TOT,PC_POP,A,2014,68.128,
CAN,WKGPOP,TOT,PC_POP,A,2015,67.744,
CAN,WKGPOP,TOT,PC_POP,A,2016,67.358,
CAN,WKGPOP,TOT,PC_POP,A,2017,67.025,
CAN,WKGPOP,TOT,PC_POP,A,2018,66.726,
CZE,WKGPOP,TOT,PC_POP,A,2008,71.09,
CZE,WKGPOP,TOT,PC_POP,A,2009,70.772,
CZE,WKGPOP,TOT,PC_POP,A,2010,70.306,
CZE,WKGPOP,TOT,PC_POP,A,2011,69.503,
CZE,WKGPOP,TOT,PC_POP,A,2012,68.741,
CZE,WKGPOP,TOT,PC_POP,A,2013,67.986,
CZE,WKGPOP,TOT,PC_POP,A,2014,67.295,
CZE,WKGPOP,TOT,PC_POP,A,2015,66.631,
CZE,WKGPOP,TOT,PC_POP,A,2016,65.966,
CZE,WKGPOP,TOT,PC_POP,A,2017,65.318,
CZE,WKGPOP,TOT,PC_POP,A,2018,64.76,
DNK,WKGPOP,TOT,PC_POP,A,2008,65.893,
DNK,WKGPOP,TOT,PC_POP,A,2009,65.691,
DNK,WKGPOP,TOT,PC_POP,A,2010,65.419,
DNK,WKGPOP,TOT,PC_POP,A,2011,65.082,
DNK,WKGPOP,TOT,PC_POP,A,2012,64.788,
DNK,WKGPOP,TOT,PC_POP,A,2013,64.576,
DNK,WKGPOP,TOT,PC_POP,A,2014,64.447,
DNK,WKGPOP,TOT,PC_POP,A,2015,64.365,
DNK,WKGPOP,TOT,PC_POP,A,2016,64.261,
DNK,WKGPOP,TOT,PC_POP,A,2017,64.132,
DNK,WKGPOP,TOT,PC_POP,A,2018,63.967,
FIN,WKGPOP,TOT,PC_POP,A,2008,66.565,
FIN,WKGPOP,TOT,PC_POP,A,2009,66.453,
FIN,WKGPOP,TOT,PC_POP,A,2010,66.182,
FIN,WKGPOP,TOT,PC_POP,A,2011,65.69,
FIN,WKGPOP,TOT,PC_POP,A,2012,65.106,
FIN,WKGPOP,TOT,PC_POP,A,2013,64.504,
FIN,WKGPOP,TOT,PC_POP,A,2014,63.933,
FIN,WKGPOP,TOT,PC_POP,A,2015,63.435,
FIN,WKGPOP,TOT,PC_POP,A,2016,63.029,
FIN,WKGPOP,TOT,PC_POP,A,2017,62.656,
FIN,WKGPOP,TOT,PC_POP,A,2018,62.317,
FRA,WKGPOP,TOT,PC_POP,A,2008,65.046,
FRA,WKGPOP,TOT,PC_POP,A,2009,64.895,
FRA,WKGPOP,TOT,PC_POP,A,2010,64.753,
FRA,WKGPOP,TOT,PC_POP,A,2011,64.481,
FRA,WKGPOP,TOT,PC_POP,A,2012,64.06,
FRA,WKGPOP,TOT,PC_POP,A,2013,63.642,
FRA,WKGPOP,TOT,PC_POP,A,2014,63.21,
FRA,WKGPOP,TOT,PC_POP,A,2015,62.861,
FRA,WKGPOP,TOT,PC_POP,A,2016,62.594,
FRA,WKGPOP,TOT,PC_POP,A,2017,62.359,
FRA,WKGPOP,TOT,PC_POP,A,2018,62.138,
DEU,WKGPOP,TOT,PC_POP,A,2008,66.101,
DEU,WKGPOP,TOT,PC_POP,A,2009,65.939,
DEU,WKGPOP,TOT,PC_POP,A,2010,65.937,
DEU,WKGPOP,TOT,PC_POP,A,2011,65.844,
DEU,WKGPOP,TOT,PC_POP,A,2012,65.947,
DEU,WKGPOP,TOT,PC_POP,A,2013,65.966,
DEU,WKGPOP,TOT,PC_POP,A,2014,65.874,
DEU,WKGPOP,TOT,PC_POP,A,2015,65.749,
DEU,WKGPOP,TOT,PC_POP,A,2016,65.549,
DEU,WKGPOP,TOT,PC_POP,A,2017,65.254,
DEU,WKGPOP,TOT,PC_POP,A,2018,64.985,
GRC,WKGPOP,TOT,PC_POP,A,2008,66.648,
GRC,WKGPOP,TOT,PC_POP,A,2009,66.489,
GRC,WKGPOP,TOT,PC_POP,A,2010,66.228,
GRC,WKGPOP,TOT,PC_POP,A,2011,65.868,
GRC,WKGPOP,TOT,PC_POP,A,2012,65.459,
GRC,WKGPOP,TOT,PC_POP,A,2013,65.062,
GRC,WKGPOP,TOT,PC_POP,A,2014,64.72,
GRC,WKGPOP,TOT,PC_POP,A,2015,64.436,
GRC,WKGPOP,TOT,PC_POP,A,2016,64.16,
GRC,WKGPOP,TOT,PC_POP,A,2017,63.916,
GRC,WKGPOP,TOT,PC_POP,A,2018,63.727,
HUN,WKGPOP,TOT,PC_POP,A,2008,68.791,
HUN,WKGPOP,TOT,PC_POP,A,2009,68.704,
HUN,WKGPOP,TOT,PC_POP,A,2010,68.656,
HUN,WKGPOP,TOT,PC_POP,A,2011,68.648,
HUN,WKGPOP,TOT,PC_POP,A,2012,68.505,
