LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,USD_CAP,A,2009,41614.09072,
AUS,GDP,TOT,USD_CAP,A,2010,42787.06596,
AUS,GDP,TOT,USD_CAP,A,2011,44419.30975,
AUS,GDP,TOT,USD_CAP,A,2012,43879.18036,
AUS,GDP,TOT,USD_CAP,A,2013,47761.21406,
AUS,GDP,TOT,USD_CAP,A,2014,47644.76279,
AUS,GDP,TOT,USD_CAP,A,2015,47317.2507,
AUS,GDP,TOT,USD_CAP,A,2016,50237.79443,
AUS,GDP,TOT,USD_CAP,A,2017,51011.46292,
AUS,GDP,TOT,USD_CAP,A,2018,54262.88285,
AUT,GDP,TOT,USD_CAP,A,2009,40957.26232,
AUT,GDP,TOT,USD_CAP,A,2010,42053.24337,
AUT,GDP,TOT,USD_CAP,A,2011,44469.20964,
AUT,GDP,TOT,USD_CAP,A,2012,46477.65508,
AUT,GDP,TOT,USD_CAP,A,2013,47936.67796,
AUT,GDP,TOT,USD_CAP,A,2014,48813.53441,
AUT,GDP,TOT,USD_CAP,A,2015,49942.05629,
AUT,GDP,TOT,USD_CAP,A,2016,52665.08746,
AUT,GDP,TOT,USD_CAP,A,2017,54358.36187,
AUT,GDP,TOT,USD_CAP,A,2018,58869.52762,
BEL,GDP,TOT,USD_CAP,A,2009,37777.28528,
BEL,GDP,TOT,USD_CAP,A,2010,39870.45633,
BEL,GDP,TOT,USD_CAP,A,2011,40942.23072,
BEL,GDP,TOT,USD_CAP,A,2012,42290.85843,
BEL,GDP,TOT,USD_CAP,A,2013,43671.14688,
BEL,GDP,TOT,USD_CAP,A,2014,44929.53249,
BEL,GDP,TOT,USD_CAP,A,2015,46200.86629,
BEL,GDP,TOT,USD_CAP,A,2016,48597.48712,
BEL,GDP,TOT,USD_CAP,A,2017,50596.42405,
BEL,GDP,TOT,USD_CAP,A,2018,54330.06365,
CAN,GDP,TOT,USD_CAP,A,2009,38893.72746,
CAN,GDP,TOT,USD_CAP,A,2010,40114.22204,
CAN,GDP,TOT,USD_CAP,A,2011,41666.71885,
CAN,GDP,TOT,USD_CAP,A,2012,42290.87908,
CAN,GDP,TOT,USD_CAP,A,2013,44298.51446,
